Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Lucas Digne,fr FRA,DF,32-129,12,11,863,9.6,0,3,3,0,0,0,2,0,0.3,0.3,0.9,1.2,10,23,65,0.00,0.31,0.31,0.00,0.31,0.03,0.09,0.13,0.03,0.13,Matches,Aston Villa
Emiliano Martínez,ar ARG,GK,33-085,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Aston Villa
Boubacar Kamara,fr FRA,MF,26-003,10,9,735,8.2,0,2,2,0,0,0,3,0,0.1,0.1,0.5,0.6,7,45,3,0.00,0.24,0.24,0.00,0.24,0.01,0.07,0.08,0.01,0.08,Matches,Aston Villa
Pau Torres,es ESP,DF,28-314,9,7,689,7.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,28,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Aston Villa
Tyrone Mings,eng ENG,DF,32-258,7,6,498,5.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,27,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches,Aston Villa
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Aston Villa
Amadou Onana,be BEL,MF,24-102,7,6,485,5.4,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,3,22,2,0.19,0.00,0.19,0.19,0.19,0.05,0.00,0.05,0.05,0.05,Matches,Aston Villa
Emi Buendía,ar ARG,"MF,FW",28-336,10,5,472,5.2,3,2,5,3,0,0,2,0,1.0,1.0,1.0,2.0,13,29,19,0.57,0.38,0.95,0.57,0.95,0.20,0.18,0.38,0.20,0.38,Matches,Aston Villa
Evann Guessand,ci CIV,FW,24-148,10,5,423,4.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,12,8,26,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches,Aston Villa
Youri Tielemans,be BEL,MF,28-203,6,5,418,4.6,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,9,30,10,0.00,0.22,0.22,0.00,0.22,0.05,0.18,0.23,0.05,0.23,Matches,Aston Villa
Donyell Malen,nl NED,FW,26-321,12,3,386,4.3,3,1,4,3,0,0,0,0,2.0,2.0,0.4,2.4,11,11,23,0.70,0.23,0.93,0.70,0.93,0.47,0.08,0.56,0.47,0.56,Matches,Aston Villa
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Aston Villa
Lamare Bogarde,nl NED,MF,21-325,8,3,298,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Aston Villa
Marco Bizot,nl NED,GK,34-261,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Aston Villa
Ian Maatsen,nl NED,DF,23-261,8,1,223,2.5,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,8,19,20,0.00,0.00,0.00,0.00,0.00,0.12,0.11,0.23,0.12,0.23,Matches,Aston Villa
Harvey Elliott,eng ENG,"MF,FW",22-236,3,1,98,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,5,11,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches,Aston Villa
Jadon Sancho,eng ENG,FW,25-246,5,0,114,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,7,9,19,0.00,0.00,0.00,0.00,0.00,0.26,0.08,0.34,0.26,0.34,Matches,Aston Villa
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Aston Villa
Ross Barkley,eng ENG,MF,31-356,6,0,108,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,5,7,4,0.83,0.00,0.83,0.83,0.83,0.32,0.41,0.73,0.32,0.73,Matches,Aston Villa
Victor Lindelöf,se SWE,"MF,DF",31-132,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Aston Villa
Bradley Burrowes,eng ENG,DF,17-267,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Aston Villa
Benjamin Broggio,eng ENG,FW,18-301,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa
