Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPtrs,DiffFormPts
14/10/00,Leicester,Man United,0,3,NH,7,20,2,8,1.7777777777777777,1.6666666666666667, ,D,D,W,W, ,L,D,W,W,9.0, DDWW, LDWW,8,7,0,0,0,0,0,0,0,0,0.5555555555555556,1.3333333333333333,0.1111111111111111,1,0.1111111111111111
14/10/00,Man City,Bradford,2,0,H,10,4,14,12,0.8888888888888888,0.6666666666666666, ,L,D,D,L, ,D,L,L,D,9.0, LDDL, DLLD,2,2,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.8888888888888888,0.2222222222222222,0,0.0
14/10/00,Sunderland,Chelsea,1,0,H,7,13,11,12,1.0,1.1111111111111112, ,D,D,W,L, ,W,D,L,D,9.0, DDWL, WDLD,5,5,0,0,0,0,0,0,0,0,-0.4444444444444444,0.1111111111111111,-0.1111111111111111,0,0.0
15/10/00,Derby,Liverpool,0,4,NH,14,12,19,13,0.5555555555555556,1.3333333333333333, ,L,D,L,D, ,L,D,D,W,9.0, LDLD, LDDW,2,5,0,0,0,0,0,0,0,0,-0.5555555555555556,-0.1111111111111111,-0.7777777777777778,-3,-0.3333333333333333
16/10/00,Middlesbrough,Newcastle,1,3,NH,14,8,12,7,1.1111111111111112,1.4444444444444444, ,W,D,D,L, ,W,L,L,D,9.0, WDDL, WLLD,5,4,0,0,0,0,0,0,0,0,0.2222222222222222,0.1111111111111111,-0.3333333333333333,1,0.1111111111111111
21/10/00,Bradford,Ipswich,0,2,NH,4,11,12,10,0.6666666666666666,1.2222222222222223, ,D,L,L,D, ,W,D,W,L,9.0, DLLD, WDWL,2,7,0,0,0,0,0,0,0,0,-0.8888888888888888,0.1111111111111111,-0.5555555555555556,-5,-0.5555555555555556
21/10/00,Charlton,Middlesbrough,1,0,H,15,15,16,15,1.2,1.0, ,L,D,W,W, ,L,W,D,D,10.0, LDWW, LWDD,7,5,0,0,0,0,0,0,0,0,-0.1,0.0,0.2,2,0.2
21/10/00,Chelsea,Coventry,6,1,H,13,10,13,15,1.0,1.1, ,L,W,D,L, ,W,D,L,L,10.0, LWDL, WDLL,4,4,0,0,0,0,0,0,0,0,0.0,-0.5,-0.1,0,0.0
21/10/00,Liverpool,Leicester,1,0,H,16,7,13,5,1.5,1.6, ,W,L,D,D, ,L,D,D,W,10.0, WLDD, LDDW,5,5,0,0,0,0,0,0,0,0,0.3,0.2,-0.1,0,0.0
21/10/00,Man United,Leeds,3,0,H,23,14,8,13,1.8,1.4, ,W,L,D,W, ,L,W,W,D,10.0, WLDW, LWWD,7,7,0,0,0,0,0,0,0,0,1.5,0.1,0.4,0,0.0
21/10/00,Newcastle,Everton,0,1,NH,11,12,8,16,1.6,0.9, ,W,W,L,L, ,D,L,D,L,10.0, WWLL, DLDL,6,2,0,0,0,0,0,0,0,0,0.3,-0.4,0.7,4,0.4
21/10/00,Tottenham,Derby,3,1,H,12,14,13,23,1.1,0.5, ,L,L,D,L, ,L,L,D,L,10.0, LLDL, LLDL,1,1,0,0,0,0,0,0,0,0,-0.1,-0.9,0.6,0,0.0
21/10/00,West Ham,Arsenal,1,2,NH,11,15,12,9,0.8,1.8, ,D,D,W,D, ,W,W,D,W,10.0, DDWD, WWDW,6,10,0,0,0,0,0,0,0,0,-0.1,0.6,-1.0,-4,-0.4
22/10/00,Aston Villa,Sunderland,0,0,NH,11,8,8,11,1.3,1.2, ,D,L,W,D, ,W,D,D,W,10.0, DLWD, WDDW,5,8,0,0,0,0,0,0,0,0,0.3,-0.3,0.1,-3,-0.3
23/10/00,Southampton,Man City,0,2,NH,12,12,13,14,1.0,1.1, ,D,L,W,W, ,W,L,D,D,10.0, DLWW, WLDD,7,5,0,0,0,0,0,0,0,0,-0.1,-0.2,-0.1,2,0.2
28/10/00,Arsenal,Man City,5,0,H,15,12,9,14,1.8,1.1, ,W,W,D,W, ,W,L,D,D,10.0, WWDW, WLDD,10,5,0,0,0,0,0,0,0,0,0.6,-0.2,0.7,5,0.5
28/10/00,Aston Villa,Charlton,2,1,H,13,16,9,16,1.4545454545454546,1.3636363636363635, ,W,D,L,W, ,W,L,D,W,11.0, WDLW, WLDW,7,7,0,0,0,0,0,0,0,0,0.36363636363636365,0.0,0.09090909090909091,0,0.0
28/10/00,Chelsea,Tottenham,3,0,H,19,15,14,14,1.1818181818181819,1.2727272727272727, ,W,L,W,D, ,W,L,L,D,11.0, WLWD, WLLD,7,4,0,0,0,0,0,0,0,0,0.45454545454545453,0.09090909090909091,-0.09090909090909091,3,0.2727272727272727
28/10/00,Ipswich,Middlesbrough,2,1,H,14,15,11,16,1.3636363636363635,0.9090909090909091, ,W,D,W,D, ,L,L,W,D,11.0, WDWD, LLWD,8,4,0,0,0,0,0,0,0,0,0.2727272727272727,-0.09090909090909091,0.45454545454545453,4,0.36363636363636365
